bucket,region,purpose,retention_policy
infinity-agent-artifacts,US,,
infinity-swarm-system,US,,
my-project-52092gpt-deployer-memory-raw,US-EAST1,,
my-project-52092gpt-deployer-memory-snapshots,US-EAST1,,
my-project-52092gpt-deployer_cloudbuild,US,,
run-sources-my-project-52092gpt-deployer-us-east1,US-EAST1,,
run-sources-my-project-52092gpt-deployer-us-west1,US-WEST1,,
swarm-seeds-my-project-52092gpt-deployer,US-EAST1,,
